"","area","ecoregion","from_id","age","to_id"
"3",0.0890457580566406,1,"Pasture",1,"Forest Formation"
"4",6.31547495117188,1,"Other non Vegetated Areas",1,"Forest Formation"
"5",3.18145358886719,1,"River, Lake and Ocean ",1,"Forest Formation"
"7",37.3621069030762,1,"Forest Plantation",2,"Forest Formation"
"9",3080.12204181519,1,"Pasture",2,"Forest Formation"
"10",1348.57275313721,1,"Mosaic of Uses",2,"Forest Formation"
"11",0.266983026123047,1,"Urban Area ",2,"Forest Formation"
"12",14.7663369567871,1,"Other non Vegetated Areas",2,"Forest Formation"
"13",2.92358314208984,1,"River, Lake and Ocean ",2,"Forest Formation"
"14",9.50591815185547,1,"Soybean",2,"Forest Formation"
"15",29.2540157409668,1,"Other Temporary Crops ",2,"Forest Formation"
"17",81.5762404846192,1,"Forest Plantation",3,"Forest Formation"
"19",8454.67920180054,1,"Pasture",3,"Forest Formation"
"20",2347.76422587891,1,"Mosaic of Uses",3,"Forest Formation"
"21",0.0888483154296875,1,"Urban Area ",3,"Forest Formation"
"22",14.6783787414551,1,"Other non Vegetated Areas",3,"Forest Formation"
"23",9.53729841308594,1,"River, Lake and Ocean ",3,"Forest Formation"
"24",841.881462908935,1,"Soybean",3,"Forest Formation"
"25",78.4324990661621,1,"Other Temporary Crops ",3,"Forest Formation"
"27",679.075576623536,1,"Forest Plantation",4,"Forest Formation"
"28",8973.44351573487,1,"Pasture",4,"Forest Formation"
"29",1897.50432073364,1,"Mosaic of Uses",4,"Forest Formation"
"30",0.0889872924804687,1,"Urban Area ",4,"Forest Formation"
"31",8.00808427124023,1,"Other non Vegetated Areas",4,"Forest Formation"
"32",3.45283021240234,1,"River, Lake and Ocean ",4,"Forest Formation"
"33",358.999715777587,1,"Soybean",4,"Forest Formation"
"34",11.0795363830566,1,"Other Temporary Crops ",4,"Forest Formation"
"36",145.142935827637,1,"Forest Plantation",5,"Forest Formation"
"37",7031.52013052367,1,"Pasture",5,"Forest Formation"
"38",1718.25236306152,1,"Mosaic of Uses",5,"Forest Formation"
"39",2.6672637878418,1,"Other non Vegetated Areas",5,"Forest Formation"
"40",3.35645616455078,1,"River, Lake and Ocean ",5,"Forest Formation"
"41",20.0133361755371,1,"Soybean",5,"Forest Formation"
"42",3.55848149414063,1,"Other Temporary Crops ",5,"Forest Formation"
"44",22.6004242919922,1,"Forest Plantation",6,"Forest Formation"
"45",6518.14759221802,1,"Pasture",6,"Forest Formation"
"46",1323.09014962158,1,"Mosaic of Uses",6,"Forest Formation"
"47",0.0889490417480469,1,"Urban Area ",6,"Forest Formation"
"48",7.91819802246094,1,"Other non Vegetated Areas",6,"Forest Formation"
"49",1.06727269287109,1,"River, Lake and Ocean ",6,"Forest Formation"
"50",180.610146392822,1,"Soybean",6,"Forest Formation"
"51",18.2827594055176,1,"Other Temporary Crops ",6,"Forest Formation"
"53",65.3906599426269,1,"Forest Plantation",7,"Forest Formation"
"54",4302.65861169433,1,"Pasture",7,"Forest Formation"
"55",0.0887824340820313,1," Sugar cane",7,"Forest Formation"
"56",1506.76542902222,1,"Mosaic of Uses",7,"Forest Formation"
"57",0.26688818359375,1,"Urban Area ",7,"Forest Formation"
"58",5.96073654785156,1,"Other non Vegetated Areas",7,"Forest Formation"
