system:index,area,ecoregion,pixelValue,variable,.geo
0_0_0,1.8549284362792968,1,30103,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,1.0624558776855468,1,30111,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,0.08904575805664063,1,30115,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,6.315474951171876,1,30125,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,3.1814535888671873,1,30133,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,0.26655051879882813,1,30203,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,37.36210690307617,1,30209,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,0.35418344116210937,1,30211,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,3080.1220418151865,1,30215,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,1348.5727531372072,1,30221,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,0.2669830261230469,1,30224,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_11,14.766336956787109,1,30225,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_12,2.9235831420898437,1,30233,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_13,9.505918151855468,1,30239,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_14,29.2540157409668,1,30241,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_15,0.2666562133789062,1,30303,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_16,81.57624048461919,1,30309,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_17,0.2661874206542969,1,30311,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_18,8454.679201800538,1,30315,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_19,2347.7642258789056,1,30321,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_20,0.0888483154296875,1,30324,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_21,14.678378741455074,1,30325,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_22,9.537298413085937,1,30333,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_23,841.8814629089351,1,30339,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_24,78.43249906616214,1,30341,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_25,0.17667467041015625,1,30404,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_26,679.0755766235362,1,30409,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_27,8973.443515734874,1,30415,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_28,1897.5043207336403,1,30421,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_29,0.08898729248046874,1,30424,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_30,8.008084271240234,1,30425,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_31,3.452830212402344,1,30433,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_32,358.9997157775875,1,30439,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_33,11.079536383056638,1,30441,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_34,0.35407413330078125,1,30504,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_35,145.14293582763696,1,30509,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_36,7031.520130523673,1,30515,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_37,1718.2523630615224,1,30521,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_38,2.667263787841797,1,30525,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_39,3.3564561645507816,1,30533,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_40,20.01333617553711,1,30539,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_41,3.5584814941406253,1,30541,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_42,0.17800744018554687,1,30603,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_43,22.600424291992194,1,30609,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_44,6518.147592218022,1,30615,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_45,1323.0901496215822,1,30621,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_46,0.08894904174804688,1,30624,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_47,7.918198022460941,1,30625,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_48,1.0672726928710938,1,30633,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_49,180.61014639282217,1,30639,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_50,18.282759405517577,1,30641,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_51,0.2655184204101562,1,30704,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_52,65.39065994262693,1,30709,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_53,4302.658611694334,1,30715,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_54,0.08878243408203125,1,30720,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_55,1506.765429022217,1,30721,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_56,0.26688818359375,1,30724,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_57,5.960736547851562,1,30725,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_58,1.509591455078125,1,30733,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_59,1241.6298265441872,1,30739,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_60,44.89875888061523,1,30741,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_61,92.60709418945319,1,30809,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_62,4367.624435980221,1,30815,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_63,1293.8859907409665,1,30821,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_64,0.5333291076660156,1,30825,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_65,0.5340795959472657,1,30833,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_66,212.08225889892546,1,30839,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_67,10.806800805664055,1,30841,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_68,0.08905110473632813,1,30903,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_69,1399.2746207397483,1,30909,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_70,0.08897113647460937,1,30911,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_71,5311.037355572514,1,30915,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_72,2438.95660263672,1,30921,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_73,8.27097202758789,1,30925,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_74,2.580547314453125,1,30933,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_75,58.21545020751952,1,30939,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_76,30.57612169799794,1,30941,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_77,0.8849816223144531,1,31003,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_78,0.088946630859375,1,31004,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_79,422.22506458129794,1,31009,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_80,0.5309770690917969,1,31011,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_81,2606.100606634521,1,31015,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_82,0.17757044677734374,1,31020,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_83,2658.932286853025,1,31021,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_84,1.422495037841797,1,31025,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_85,1.4239259094238281,1,31033,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_86,202.72019326171912,1,31039,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_87,16.064889556884765,1,31041,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_88,455.7489082519535,1,31109,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_89,3007.403406555176,1,31115,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_90,0.7990948669433595,1,31120,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_91,2569.3393628112804,1,31121,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_92,0.08898657836914063,1,31124,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_93,16.102418255615245,1,31125,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_94,1.42249541015625,1,31133,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_95,32.00003648681639,1,31139,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_96,5.759418835449219,1,31141,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_97,0.08897778930664063,1,31203,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_98,74.20573552856443,1,31209,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_99,3122.39296472778,1,31215,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_100,3144.2918028625472,1,31221,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_101,107.47443988037074,1,31225,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_102,1.066537335205078,1,31233,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_103,222.03680938720683,1,31239,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_104,14.472535015869143,1,31241,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_105,0.44426788940429685,1,31303,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_106,122.67004608764648,1,31309,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_107,0.3544391174316406,1,31311,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_108,1448.4500678222657,1,31315,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_109,1386.4814504394526,1,31321,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_110,0.08894924926757812,1,31324,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_111,17.438103558349617,1,31325,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_112,1.4211486938476563,1,31333,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_113,45.76856822509764,1,31339,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_114,10.200247827148438,1,31341,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_115,0.17803255615234376,1,31403,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_116,128.97138808593755,1,31409,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_117,2244.9317045104995,1,31415,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_118,1816.2150498596195,1,31421,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_119,4.5366466491699216,1,31425,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_120,1.0647233032226562,1,31433,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_121,2.2202715087890628,1,31439,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_122,4.976704327392579,1,31441,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_123,0.178001025390625,1,31503,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_124,0.1767925048828125,1,31504,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_125,32.531302728271484,1,31509,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_126,0.17795345458984374,1,31511,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_127,1610.9351134338383,1,31515,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_128,1269.683917687988,1,31521,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_129,0.08899539184570313,1,31524,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_130,0.8007115844726563,1,31525,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_131,0.8899760681152344,1,31533,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_132,2.133310601806641,1,31539,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_133,0.8859218566894531,1,31541,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_134,0.0890672607421875,1,31603,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_135,0.35447193603515625,1,31604,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_136,22.816079772949223,1,31609,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_137,1574.507619451904,1,31615,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_138,1825.491597454833,1,31621,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_139,0.0889484619140625,1,31624,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_140,1.067986279296875,1,31625,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_141,1.868847235107422,1,31633,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_142,0.9772421264648438,1,31639,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_143,0.17810196533203126,1,31703,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_144,72.78295811157221,1,31709,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_145,1336.2435928833013,1,31715,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_146,1507.1333431335458,1,31721,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_147,0.0889905029296875,1,31725,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_148,1.6834391784667968,1,31733,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_149,30.28768125610352,1,31739,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_150,5.158241638183596,1,31741,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_151,0.08899559326171876,1,31803,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_152,33.228562530517586,1,31809,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_153,0.17705595703125,1,31811,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_154,1107.125025482179,1,31815,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_155,1314.9686871704112,1,31821,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_156,0.355941357421875,1,31825,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_157,0.26622053833007814,1,31833,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
